filename,mode,jaccard_index,precision,recall,f1_score,f0.5_score,success_f1,success_f05
Rebar-Bar-12-B500C-T---Shape-A-2111867.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Basic-Wall-WAN_ASW_DÄ_60-8977932.json,Elements,0.231,0.75,0.25,0.375,0.536,0,0
Fertigteil-TT-Platte---Ausklinkung-beidseitig---ohne-Fase-TRA_RIP_STB_2750-x-480_ohne-gabel-2623718.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Basic-Wall-Wärmedämmung_Mineralwolle_130-1839774.json,Elements,0.333,1.0,0.333,0.5,0.714,0,1
HEB-Stütze-mit-Kammerbeton-STZ_HEB-KAM_STA_650-x-300-2816822.json,Elements,0.333,0.333,1.0,0.5,0.385,0,0
Blechabdeckung-Brüstung-Blechabdeckung-Brüstung-7933804.json,Elements,0.286,0.667,0.333,0.444,0.556,0,0
Floor-BBA_HBE_50-BG1-7590425.json,Elements,0.0,0.0,0.0,0.0,0.0,0,0
Basic-Wall-WAT_ASW_STB_250-5585349.json,Elements,0.125,0.333,0.167,0.222,0.278,0,0
1OG-I-1-1.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Floor-BBA_ASP_50-9567604.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Basic-Wall-FAS_ASW_DÄ_30-12313333.json,Elements,0.444,1.0,0.444,0.615,0.8,0,1
1OG-Tür-1-1.json,Elements,0.714,1.0,0.714,0.833,0.926,1,1
1OG-Fenster-1-1.json,Elements,0.611,0.611,1.0,0.759,0.663,1,0
Systemelement-Profilglas-15----mittig-21414704.json,Elements,0.167,0.167,1.0,0.286,0.2,0,0
Holz-Träger---rechteckig-Alu-Eurotec-40-x-60-7547868.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Basic-Wall-WAN_ASW_MW_225-7610934.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Assembled-Stair-Stair-11892954-Landing-1.json,Elements,0.333,0.333,1.0,0.5,0.385,0,0
Parkplatz---01-90-PAR_2400-x-5000-10260983.json,Elements,0.5,1.0,0.5,0.667,0.833,0,1
Dämmung2-Dämmung-21751352.json,Elements,0.192,1.0,0.192,0.323,0.543,0,0
TU-DF-1---Rahmenstock-flächenbündig-TUI_ZAR_STA_MÖ---1100-x-2200_EI-30-10129091.json,Elements,0.0,0.0,0.0,0.0,0.0,0,0
Rechteckiger-Pfosten-VF_PFT-T_M_60-x-125-11226193.json,Elements,0.667,0.667,1.0,0.8,0.714,1,1
Fenster-Pfosten-Brett-VF_PFT_MET_50-x-290-x-2600-9774242.json,Elements,0.0,0.0,0.0,0.0,0.0,0,0
Attikablech-Galerie-Südost-Attikablech-Galerie-Südost-6350725.json,Elements,0.1,0.333,0.125,0.182,0.25,0,0
Attikabrett-Attikabrett-6718052.json,Elements,0.167,0.25,0.333,0.286,0.263,0,0
Atikkabrett-Atikkabrett-6717985.json,Elements,0.25,0.286,0.667,0.4,0.323,0,0
Fassade---FE-1-flg-FEN_STA_50-x-60-Kippelement-8879976.json,Elements,0.714,0.714,1.0,0.833,0.758,1,1
Stair-Concrete-716803-1.json,Elements,0.714,0.714,1.0,0.833,0.758,1,1
Floor-Floor_Holz_40mm-21756579.json,Elements,0.091,0.25,0.125,0.167,0.208,0,0
Plate--face-based--Plate--face-based--1696783.json,Elements,0.333,0.5,0.5,0.5,0.5,0,0
Basic-Wall-Innenwandelement-Archisonic-ohne-MDF-3995377.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Basic-Wall-Technikschnittstelle-6225020.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
M_Skylight-1180-x-1170mm-1180-x-1170mm-185337.json,Elements,0.111,0.167,0.25,0.2,0.179,0,0
Floor-AHD_DÄ_90-13984336.json,Elements,0.462,1.0,0.462,0.632,0.811,0,1
UnnamedElement.json,Elements,0.333,0.333,1.0,0.5,0.385,0,0
Storen_ZIP-SOS_STO_275x395-14112561.json,Elements,0.667,0.667,1.0,0.8,0.714,1,1
Anfahrschutz-Rohr-2350-x-400-13363728.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Basic-Wall-WAT_KWA_STB_785-7556581.json,Elements,0.571,0.8,0.667,0.727,0.769,1,1
Pfosten-rechteckig-Forster-60-x-90---Nur-Pfosten-2355404.json,Elements,0.5,0.5,1.0,0.667,0.556,0,0
Vierkantstahl-Stütze-140-x-80-12651870.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Systemelement-Dämmelement-1123941.json,Elements,0.571,0.667,0.8,0.727,0.69,1,0
Railing-GEL_STA_40x40-3STK-handlauf-unterbrochen-8881489.json,Elements,0.5,0.5,1.0,0.667,0.556,0,0
Holz-Träger---rechteckig-Holz-60-x-200-6746028.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
STB-Stütze---rechteckig-STB-500-x-500-2623790.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
2OG-Balkon-1-1.json,Elements,0.25,0.6,0.3,0.4,0.5,0,0
Basic-Wall-WAN_ASW_MW_100-8756190.json,Elements,0.667,1.0,0.667,0.8,0.909,1,1
Dachdämmung_V3-Dachdämmung_V3-5659319.json,Elements,0.286,0.667,0.333,0.444,0.556,0,0
Floor-Gitterrost-schwarz-354156.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Floor-BBA_ASP_120-11419651.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
